query ID	subject ID	evalue	Percent Identity	Moved	query location	subject location
YP_002343517.1	WP_002810504.1	0.0	96.15	false	complement(68532..69548)	complement(68719..69735)
YP_002343518.1	WP_002786440.1	1e-98	86.07	false	complement(69548..70153)	complement(69735..70340)
YP_002343519.1	WP_002779307.1	1e-149	99.24	true	complement(70274..71098)	complement(70462..71250)
YP_002343521.1	WP_021033624.1	8e-162	98.24	false	72005..72859	75545..76399
YP_002343522.1	WP_002804181.1	7e-114	97.99	false	72844..73443	76384..76983
YP_002343523.1	WP_021033625.1	7e-138	85	false	complement(73492..74334)	complement(77032..77868)
YP_002343524.1	WP_002778751.1	0.0	98.57	false	complement(74331..75410)	complement(77865..78941)
YP_002343525.1	WP_002778752.1	2e-113	91.74	false	complement(75410..76126)	complement(78941..79633)
YP_002343526.1	WP_002778754.1	3e-61	94.92	false	complement(76083..76439)	complement(79614..79970)
YP_002343527.1	WP_002778756.1	7e-160	95.83	false	complement(76458..77324)	complement(79990..80856)
YP_002343528.1	WP_002778758.1	0.0	87.27	false	complement(77317..78771)	complement(80849..82279)
YP_002343529.1	WP_002778760.1	5e-73	80.77	false	complement(78781..79254)	complement(82280..82762)
YP_002343530.1	WP_002805548.1	2e-81	93.29	false	complement(79257..79736)	complement(82765..83253)
YP_002343531.1	WP_002788091.1	0.0	80.2	false	79827..81056	83346..84575
YP_002343532.1	WP_002785966.1	1e-123	78.98	false	81044..81940	84563..85459
YP_002343533.1	WP_002778766.1	0.0	95.03	false	82019..83050	85567..86598
YP_002343535.1	WP_002778771.1	6e-104	82.57	false	complement(84087..84743)	complement(88330..88986)
YP_002343536.1	WP_002778772.1	0.0	91.44	false	complement(84736..86175)	complement(88979..90418)
YP_002343537.1	WP_002778775.1	1e-135	91.02	false	complement(86172..86912)	complement(90415..91152)
YP_002343538.1	WP_002781351.1	0.0	91.34	false	complement(87036..88718)	complement(91305..92972)
YP_002343539.1	WP_002837800.1	4e-47	47.62	true	complement(88890..89459)	1446960..1447532
YP_002343540.1	WP_002834417.1	4e-102	66.92	true	complement(89470..90267)	1446147..1446950
YP_002343541.1	WP_002830220.1	1e-70	48.84	true	complement(90264..91070)	1445346..1446122
YP_002343542.1	WP_002778778.1	2e-27	77.33	false	91147..91416	93360..93590
YP_002343543.1	WP_002778780.1	0.0	94.04	false	91417..92979	93590..95152
YP_002343544.1	WP_002778781.1	0.0	85.56	false	92979..94103	95152..96276
YP_002343545.1	WP_002781345.1	9e-96	71.3	false	complement(94297..94992)	complement(97427..98119)
YP_002343546.1	WP_002778786.1	3e-105	77.49	false	complement(95108..95803)	complement(98253..98948)
YP_002343547.1	WP_002778788.1	0.0	96.79	false	96074..97480	99212..100618
YP_002343548.1	WP_002778798.1	0.0	97.75	false	97496..98833	100635..101972
YP_002343549.1	WP_002792566.1	4e-120	49.78	false	98941..100302	102042..103394
YP_002343551.1	WP_002778802.1	1e-84	79.23	false	100704..101327	103425..104048
YP_002343553.1	WP_002778804.1	8e-19	28.57	false	102757..103959	104048..105034
YP_002343554.1	WP_002778820.1	2e-53	100	false	104118..104426	105191..105499
YP_002343555.1	WP_002778821.1	3e-44	98.81	false	104437..104691	105510..105764
YP_002343556.1	WP_002778822.1	2e-172	96.15	false	104798..105850	105869..106924
YP_002343557.1	WP_002779409.1	3e-127	88.05	true	105955..106710	complement(1623076..1623831)
YP_002343558.1	WP_002779405.1	2e-156	86.23	false	106784..107701	complement(1620715..1621632)
YP_002343559.1	WP_002779404.1	8e-110	85.25	false	107664..108317	complement(1620099..1620752)
YP_002343560.1	WP_002779403.1	2e-147	97.32	false	108314..109099	complement(1619317..1620102)
YP_002343561.1	WP_002779402.1	1e-114	71.22	false	109105..109941	complement(1618476..1619312)
YP_002343562.1	WP_002779401.1	6e-64	81.43	false	110002..110427	complement(1617992..1618417)
YP_002343563.1	WP_002779400.1	7e-69	82.94	false	110438..110950	complement(1617467..1617979)
YP_002343564.1	WP_002782350.1	5e-63	67.63	false	110953..111474	complement(1616946..1617467)
YP_002343565.1	WP_002779398.1	0.0	97.01	false	111488..112993	complement(1615428..1616933)
YP_002343566.1	WP_021033789.1	1e-154	89.46	false	113002..113886	complement(1614534..1615418)
YP_002343567.1	WP_002785043.1	0.0	98.49	false	113912..115309	complement(1613110..1614507)
YP_002343568.1	WP_002779395.1	1e-62	88.37	false	115313..115702	complement(1612717..1613106)
YP_002343569.1	WP_002779394.1	3e-92	90.22	false	115702..116256	complement(1612162..1612716)
YP_002343570.1	WP_002782354.1	1e-65	90.7	false	116265..116654	complement(1611762..1612151)
YP_002343571.1	WP_002785045.1	5e-118	77.43	false	116657..117436	complement(1610982..1611758)
YP_002343572.1	WP_002782359.1	0.0	88.59	false	117446..118654	complement(1609757..1610968)
YP_002343573.1	WP_002778702.1	1e-89	93.94	false	118731..119228	complement(1609183..1609680)
YP_002343574.1	WP_002778698.1	2e-136	75.79	false	119232..120179	complement(1608226..1609179)
YP_002343575.1	WP_002845331.1	8e-84	94.81	false	120194..120763	complement(1607632..1608210)
YP_002343576.1	WP_002787466.1	1e-154	85.62	false	120763..121683	complement(1606710..1607630)
YP_002343577.1	WP_002778692.1	8e-129	97.81	false	121680..122369	complement(1606023..1606709)
YP_002343578.1	WP_002845329.1	3e-145	96.8	false	122366..123121	complement(1605265..1606026)
YP_002343579.1	WP_002790500.1	8e-91	89.02	false	123126..123647	complement(1604747..1605268)
YP_002343580.1	WP_002782374.1	4e-101	85.29	false	123647..124261	complement(1604133..1604747)
YP_002343581.1	WP_002812149.1	1e-68	92.59	false	124258..124665	complement(1603729..1604136)
YP_002343582.1	WP_021033788.1	8e-120	91.74	false	124789..125478	complement(1602914..1603606)
YP_002343583.1	WP_002788913.1	4e-179	97.4	false	complement(125503..126429)	1600693..1601619
YP_002343584.1	WP_002778677.1	4e-146	76.22	false	complement(126426..127412)	1599710..1600696
YP_002343585.1	WP_002778675.1	6e-51	81.74	false	complement(127402..127764)	1599360..1599713
YP_002343586.1	WP_002780129.1	7e-62	80.54	false	complement(127776..128237)	1598899..1599348
YP_002343587.1	WP_002778671.1	2e-153	91.79	false	complement(128227..129069)	1598055..1598897
YP_002343588.1	WP_002785441.1	3e-94	69.75	false	complement(129078..129800)	1597324..1598040
YP_002343589.1	WP_002843186.1	0.0	90.77	false	complement(129800..132019)	1595108..1597324
YP_002343590.1	WP_002778665.1	2e-132	86.72	false	132096..132923	complement(1594205..1595032)
YP_002343591.1	WP_021033787.1	0.0	78.34	false	133003..134376	complement(1592734..1594107)
YP_002343592.1	WP_002778660.1	1e-168	96.6	false	134376..135260	complement(1591850..1592734)
YP_002343593.1	WP_002778658.1	2e-52	74.44	false	135299..135700	complement(1591410..1591838)
YP_002343594.1	WP_002778656.1	3e-127	75	false	135709..136587	complement(1590514..1591392)
YP_002343595.1	WP_002778654.1	5e-25	65.06	false	136612..136869	complement(1590227..1590520)
YP_002343596.1	WP_002783804.1	0.0	88.29	false	136856..139471	complement(1587670..1590240)
YP_002343597.1	WP_002778650.1	5e-68	100	false	139468..139830	complement(1587311..1587673)
YP_002343598.1	WP_002778643.1	3e-62	78.23	false	139820..140242	complement(1586878..1587321)
YP_002343601.1	WP_002794383.1	3e-132	86.57	true	complement(143953..144756)	1583262..1584068
YP_002343602.1	WP_002780105.1	2e-141	83.1	true	complement(144749..145603)	1582415..1583269
YP_002343603.1	WP_002783792.1	2e-91	59.07	true	complement(145616..146506)	1581548..1582402
YP_002343604.1	WP_021033641.1	0.0	67.98	true	146705..148684	complement(218064..220034)
YP_002343605.1	WP_002778631.1	0.0	85.83	false	148819..150600	1534037..1535818
YP_002343606.1	WP_002785476.1	3e-178	96.15	false	complement(150638..151576)	complement(1535943..1536881)
YP_002343607.1	WP_002778629.1	1e-57	99.04	false	complement(151710..152024)	complement(1537017..1537331)
YP_002343608.1	WP_002778626.1	1e-46	81.25	false	complement(152081..152419)	complement(1537386..1537724)
YP_002343609.1	WP_002778624.1	1e-180	77.4	false	complement(152419..153666)	complement(1537724..1538974)
YP_002343610.1	WP_002778622.1	0.0	94.5	false	complement(153670..154872)	complement(1538976..1540181)
YP_002343611.1	WP_002783607.1	4e-116	75.37	false	complement(154884..155690)	complement(1540194..1541000)
YP_002343612.1	WP_002783605.1	2e-99	61.85	false	complement(155684..156622)	complement(1540994..1541941)
YP_002343613.1	WP_002778617.1	3e-101	78.41	false	complement(156615..157298)	complement(1541934..1542617)
YP_002343614.1	WP_002783601.1	2e-110	72.16	false	complement(157312..158136)	complement(1542630..1543454)
YP_002343615.1	WP_002778612.1	8e-34	95.45	false	complement(158139..158339)	complement(1543457..1543657)
YP_002343616.1	WP_021033782.1	4e-81	65.14	false	complement(158418..159074)	complement(1543736..1544389)
YP_002343617.1	WP_002778609.1	5e-54	77.04	false	complement(159076..159483)	complement(1544390..1544797)
YP_002343618.1	WP_002778601.1	7e-44	63.24	false	complement(159483..159908)	complement(1544798..1545220)
YP_002343619.1	WP_002778599.1	1e-99	87.05	false	complement(159908..160489)	complement(1545220..1545801)
YP_002343620.1	WP_002781502.1	3e-119	81.78	false	complement(160486..161229)	complement(1545798..1546541)
YP_002343621.1	WP_002778595.1	2e-171	90.62	false	complement(161232..162194)	complement(1546544..1547506)
YP_002343622.1	WP_002778593.1	3e-79	83.72	false	complement(162207..162722)	complement(1547522..1548040)
YP_002343623.1	WP_002778591.1	1e-74	81.71	false	complement(162719..163216)	complement(1548033..1548533)
YP_002343624.1	WP_002831458.1	7e-159	92.86	false	complement(163207..164091)	complement(1548524..1549408)
YP_002343625.1	WP_002781500.1	6e-136	80.7	false	164162..165031	1549480..1550349
YP_002343626.1	WP_002778585.1	2e-86	81.82	false	complement(165017..165580)	complement(1550335..1550898)
YP_002343628.1	WP_002778576.1	1e-128	97.73	false	166373..167035	1552243..1552905
YP_002343629.1	WP_002844981.1	5e-71	59.57	true	join(167050..167295,167297..167794)	complement(452835..453515)
YP_002343630.1	WP_002778575.1	0.0	96.51	false	complement(167807..169012)	complement(1552932..1554137)
YP_002343631.1	WP_002778573.1	1e-143	87.38	false	complement(169054..169962)	complement(1554173..1555078)
YP_002343632.1	WP_002790598.1	0.0	90.33	false	complement(169946..171562)	complement(1555065..1556681)
YP_002343633.1	WP_002778568.1	3e-180	90.72	false	complement(171562..172566)	complement(1556681..1557685)
YP_002343635.1	WP_002826909.1	4e-152	92.47	false	172916..173767	1558049..1558891
YP_002343636.1	WP_002845156.1	0.0	54.1	false	173764..176031	1558901..1561177
YP_002343637.1	WP_002778559.1	8e-132	95.26	false	176043..176804	1561190..1561951
YP_002343638.1	WP_002778556.1	2e-72	97.79	false	176791..177201	1561938..1562348
YP_002343639.1	WP_002785466.1	3e-133	92.74	false	177203..177949	1562351..1563097
YP_002343640.1	WP_002778553.1	0.0	94.71	false	177995..179200	1563153..1564373
YP_002343641.1	WP_002780082.1	0.0	93.6	false	179299..180657	1565609..1566970
YP_002343642.1	WP_002790604.1	1e-178	76.56	false	complement(180702..181856)	complement(1566982..1568166)
YP_002343644.1	WP_002845158.1	6e-69	60.42	false	complement(182068..182787)	complement(1568434..1569174)
YP_002343645.1	WP_002845165.1	1e-93	87.17	false	complement(182859..183425)	complement(1570572..1571147)
YP_002343646.1	WP_002845167.1	0.0	85.31	false	complement(183416..184786)	complement(1571138..1572508)
YP_002343647.1	WP_002778537.1	9e-129	96.55	false	complement(184770..185468)	complement(1572492..1573190)
YP_002343648.1	WP_002778536.1	0.0	86.03	false	complement(185470..186975)	complement(1573192..1574697)
YP_002343649.1	WP_002778535.1	3e-83	89.02	false	complement(186972..187499)	complement(1574694..1575221)
YP_002343650.1	WP_002778534.1	2e-111	98.97	false	complement(187535..188119)	complement(1575249..1575833)
YP_002343651.1	WP_002845169.1	0.0	95.35	false	complement(188119..189453)	complement(1575833..1577167)
YP_002343652.1	WP_004284730.1	2e-102	91.05	false	189596..190168	1577258..1577860
YP_002343653.1	WP_002805153.1	0.0	95.88	false	190168..191553	1577860..1579245
YP_002343654.1	WP_002777919.1	0.0	93.93	true	complement(191556..192893)	1526242..1527579
YP_002343655.1	WP_002781848.1	9e-131	90.5	true	complement(192895..193623)	1525512..1526240
YP_002343656.1	WP_002781850.1	0.0	82.44	false	complement(193686..194867)	1524261..1525442
YP_002343657.1	WP_002784611.1	1e-62	39.34	false	complement(194867..195988)	1523113..1524261
YP_002343658.1	WP_002777931.1	7e-45	70.94	false	complement(196123..196470)	1522657..1523010
YP_002343663.1	WP_002781863.1	3e-123	85.39	false	201307..202110	complement(1511807..1512610)
YP_002343664.1	WP_002777939.1	0.0	94.19	false	202241..204049	complement(1509867..1511675)
YP_002343665.1	WP_002781867.1	4e-97	98.26	false	204046..204564	complement(1509352..1509870)
YP_002343666.1	WP_002777944.1	0.0	84.81	false	204603..205694	complement(1508209..1509312)
YP_002343667.1	WP_002783640.1	0.0	87.72	false	209279..210307	complement(1506988..1508016)
YP_002343668.1	WP_002781870.1	1e-79	90.54	false	210317..210763	complement(1506531..1506977)
YP_002343669.1	WP_002781872.1	5e-148	91.4	false	210767..211612	complement(1505682..1506521)
YP_002343670.1	WP_002831125.1	0.0	89.82	false	211616..212803	complement(1504488..1505672)
YP_002343671.1	WP_002783642.1	3e-117	93.78	false	complement(212822..213451)	1503839..1504468
YP_002343672.1	WP_002781878.1	3e-87	83.15	false	213540..214088	complement(1503182..1503721)
YP_002343673.1	WP_002845319.1	3e-171	65.93	false	complement(214057..215430)	1501700..1503088
YP_002343674.1	WP_002777960.1	0.0	97.65	false	complement(215417..216439)	1500656..1501678
YP_002343675.1	WP_002777961.1	5e-65	85.93	false	complement(216453..216863)	1500231..1500641
YP_002343676.1	WP_002777962.1	2e-103	87.62	false	complement(216864..217472)	1499622..1500230
YP_002343677.1	WP_002777964.1	4e-100	94.05	false	complement(217475..218038)	1499062..1499619
YP_002343678.1	WP_002777966.1	3e-42	78.05	false	complement(218048..218419)	1498689..1499045
YP_002343679.1	WP_002777968.1	1e-122	93.51	false	complement(218523..219218)	1497887..1498582
YP_002343680.1	WP_002777974.1	9e-119	93.36	false	219378..220013	complement(1497093..1497728)
YP_002343681.1	WP_002845320.1	0.0	83.57	false	220010..221893	complement(1495213..1497096)
YP_002343682.1	WP_002777977.1	0.0	99.69	false	complement(221916..222887)	1494218..1495189
YP_002343683.1	WP_002777980.1	0.0	96.95	false	complement(222897..224078)	1493027..1494208
YP_002343684.1	WP_002778769.1	6e-16	34.62	true	complement(224256..224657)	complement(87418..88107)
YP_002343685.1	WP_002777982.1	3e-173	77.32	false	complement(224794..225960)	1491686..1492852
YP_002343686.1	WP_002777995.1	4e-30	98.41	false	226116..226307	complement(1491342..1491533)
YP_002343687.1	WP_002777997.1	3e-61	99.15	false	226401..226754	complement(1490895..1491248)
YP_002343690.1	WP_002782711.1	7e-122	68.88	false	228946..229803	complement(1489745..1490608)
YP_002343692.1	WP_002778004.1	0.0	75	false	complement(230279..231589)	1487967..1489277
YP_002343694.1	WP_002782713.1	8e-74	82.8	false	231840..232313	complement(1487244..1487717)
YP_002343695.1	WP_002778007.1	8e-40	80.46	false	232291..232554	complement(1487003..1487266)
YP_002343696.1	WP_002778008.1	0.0	89.15	false	232544..233704	complement(1485852..1486988)
YP_002343697.1	WP_002778010.1	3e-142	95.63	false	complement(233723..234481)	1485076..1485834
YP_002343698.1	WP_002794714.1	0.0	75.98	false	234599..236137	complement(1483413..1484960)
YP_002343699.1	WP_002778018.1	1e-49	84.75	false	236134..236490	complement(1483057..1483413)
YP_002343700.1	WP_002778019.1	3e-24	85.33	false	236487..236732	complement(1482824..1483066)
YP_002343701.1	WP_002814321.1	1e-163	81.14	false	236722..237729	complement(1481718..1482722)
YP_002343703.1	WP_002786810.1	2e-95	68.94	false	complement(238032..238751)	1480440..1481150
YP_002343704.1	WP_021033641.1	0.0	57.56	true	complement(238832..240829)	complement(218064..220034)
YP_002343705.1	WP_002783252.1	4e-133	77.59	true	241022..241897	complement(1447586..1448461)
YP_002343707.1	WP_002838330.1	2e-96	86.24	true	complement(244448..245023)	1528730..1529302
YP_002343708.1	WP_002778025.1	1e-87	87.57	false	complement(245504..246013)	1477581..1478090
YP_002343709.1	WP_002782463.1	5e-70	74.43	false	complement(246013..246543)	1477051..1477581
YP_002343710.1	WP_002778030.1	2e-177	95.03	false	complement(246555..247643)	1475958..1477040
YP_002343711.1	WP_002782466.1	1e-176	96.05	false	complement(247656..248570)	1475028..1475942
YP_002343712.1	WP_002778034.1	2e-31	91.18	false	248747..248953	complement(1474495..1474701)
YP_002343713.1	WP_002778035.1	4e-77	90.6	false	248950..249405	complement(1474040..1474498)
YP_002343714.1	WP_002778036.1	0.0	87.22	false	249405..250496	complement(1472949..1474040)
YP_002343715.1	WP_002782472.1	3e-79	95.89	false	250590..251030	complement(1472394..1472834)
YP_002343716.1	WP_002778038.1	1e-145	93.92	false	251030..251821	complement(1471592..1472383)
YP_002343717.1	WP_002778039.1	0.0	93.61	false	251784..253037	complement(1470376..1471599)
YP_002343718.1	WP_002788045.1	0.0	98.55	false	253049..254089	complement(1469322..1470362)
YP_002343719.1	WP_002778048.1	2e-103	75.5	false	254079..254828	complement(1468583..1469332)
YP_002343721.1	WP_002778064.1	2e-61	76.43	false	258355..258777	complement(1456352..1456774)
YP_002343722.1	WP_002778066.1	2e-165	85.93	false	complement(258778..259755)	1455369..1456355
YP_002343723.1	WP_002778068.1	1e-94	78.74	false	complement(259755..260378)	1454744..1455367
YP_002343724.1	WP_002778071.1	9e-94	95.95	false	complement(260378..260899)	1454223..1454744
YP_002343725.1	WP_002782069.1	0.0	93.13	false	complement(260904..263213)	1451924..1454218
YP_002343726.1	WP_021033777.1	2e-180	96.23	false	complement(263217..264173)	1450964..1451920
YP_002343727.1	WP_002778076.1	4e-92	80	false	complement(264166..264783)	1450336..1450971
YP_002343728.1	WP_002778078.1	5e-90	96.89	false	complement(264934..265419)	1449718..1450203
YP_002343729.1	WP_002778080.1	0.0	84.02	false	complement(265431..266525)	1448609..1449700
YP_002343731.1	WP_002781752.1	7e-131	93.41	true	269064..269840	complement(1443048..1443824)
YP_002343732.1	WP_002785359.1	3e-100	93.12	true	269830..270489	complement(1442399..1443055)
YP_002343733.1	WP_002783237.1	2e-84	98.03	true	270473..270931	complement(1441957..1442415)
YP_002343734.1	WP_002778106.1	8e-70	98.41	false	complement(271041..271421)	1441466..1441846
YP_002343735.1	WP_002778123.1	2e-168	100	false	complement(271418..272266)	1440621..1441469
YP_002343736.1	WP_002830225.1	5e-160	99.64	false	complement(272277..273101)	1439786..1440610
YP_002343738.1	WP_002778133.1	2e-136	80.61	false	complement(274179..275063)	1437583..1438467
YP_002343739.1	WP_002778136.1	1e-107	85.07	false	complement(275060..275734)	1436905..1437573
YP_002343740.1	WP_002778137.1	4e-45	65.38	false	complement(275727..276128)	1436511..1436912
YP_002343741.1	WP_002778139.1	5e-115	80.32	false	complement(276125..276874)	1435765..1436514
YP_002343742.1	WP_002778141.1	1e-100	76.32	false	complement(276925..277611)	1435025..1435711
YP_002343743.1	WP_002778143.1	2e-78	68.97	false	complement(277608..278219)	1434417..1435028
YP_002343744.1	WP_021033776.1	4e-163	75.26	false	complement(278216..279358)	1433278..1434420
YP_002343745.1	WP_002785354.1	0.0	99.06	false	279426..280709	complement(1431927..1433210)
YP_002343746.1	WP_002794058.1	3e-66	67.61	false	complement(280696..281301)	1429568..1430137
YP_002343747.1	WP_002794052.1	4e-53	98.08	false	complement(281311..281625)	1429244..1429558
YP_002343748.1	WP_002810730.1	2e-57	99.11	false	complement(281629..281967)	1428903..1429241
YP_002343749.1	WP_002791314.1	1e-98	100	false	282101..282637	complement(1428235..1428771)
YP_002343750.1	WP_002794049.1	2e-93	92.82	false	282634..283179	complement(1427696..1428238)
YP_002343751.1	WP_002778162.1	5e-156	78.12	false	283181..284239	complement(1426636..1427694)
YP_002343752.1	WP_002778164.1	0.0	92.79	false	284283..285491	complement(1425386..1426594)
YP_002343753.1	WP_002778166.1	2e-145	98.82	false	285493..286260	complement(1424617..1425384)
YP_002343754.1	WP_002778168.1	0.0	93.04	false	286248..287321	complement(1423547..1424629)
YP_002343755.1	WP_002778170.1	2e-178	83.79	false	287311..288405	complement(1422466..1423560)
YP_002343756.1	WP_002778177.1	0.0	94.82	false	288457..290139	complement(1420700..1422382)
YP_002343757.1	WP_002783207.1	0.0	99.42	false	290139..291167	complement(1419672..1420700)
YP_002343758.1	WP_002791316.1	5e-124	78.62	false	291175..292005	complement(1418834..1419664)
YP_002343759.1	WP_021033773.1	0.0	84.51	false	291998..293845	complement(1416964..1418841)
YP_002343760.1	WP_002778185.1	2e-64	83.82	false	293931..294341	complement(1416417..1416827)
YP_002343762.1	WP_002778189.1	2e-113	80	false	295586..296293	complement(1414461..1415168)
YP_002343763.1	WP_002778198.1	2e-175	77.26	false	296290..297453	complement(1410208..1411371)
YP_002343764.1	WP_002790382.1	0.0	86.83	false	297463..298539	complement(1409122..1410198)
YP_002343766.1	WP_002778202.1	3e-171	88.58	false	complement(298883..299857)	1407917..1408894
YP_002343767.1	WP_002786211.1	4e-165	83.54	false	complement(299850..300836)	1406938..1407924
YP_002343768.1	WP_002778205.1	2e-22	97.92	false	complement(300842..300988)	1406786..1406932
YP_002343769.1	WP_002778207.1	2e-56	85.47	false	complement(301012..301365)	1406403..1406762
YP_002343770.1	WP_002778209.1	1e-73	96.35	false	complement(301366..301779)	1405990..1406403
YP_002343771.1	WP_002778210.1	3e-46	89.36	false	complement(301892..302176)	1405605..1405889
YP_002343772.1	WP_002778213.1	4e-113	97.47	false	302383..302979	complement(1404752..1405348)
YP_002343773.1	WP_002778215.1	0.0	91.99	false	303098..304186	complement(1403542..1404630)
YP_002343774.1	WP_002778217.1	2e-113	78.42	false	complement(304192..304935)	1402796..1403527
YP_002343775.1	WP_002778220.1	5e-150	97.29	false	complement(304938..305714)	1402017..1402793
YP_002343776.1	WP_002780668.1	0.0	91.58	false	complement(305730..308369)	1399362..1402001
YP_002343777.1	WP_002778004.1	3e-36	28.87	true	308533..309894	1487967..1489277
YP_002343779.1	WP_002778224.1	1e-65	84.93	false	complement(310854..311297)	1398855..1399298
YP_002343780.1	WP_002793466.1	0.0	95.42	false	complement(311302..314127)	1394203..1397025
YP_002343781.1	WP_002778230.1	3e-124	86.21	false	complement(314200..314985)	1393330..1394115
YP_002343783.1	WP_002778232.1	1e-176	71.33	false	315398..316648	complement(1391705..1392946)
YP_002343784.1	WP_002778234.1	0.0	73.52	false	316645..318246	complement(1390111..1391703)
YP_002343785.1	WP_002778236.1	3e-66	62.81	false	318233..318832	complement(1389525..1390124)
YP_002343786.1	WP_002793469.1	0.0	89.8	false	318829..320007	complement(1388350..1389528)
YP_002343787.1	WP_002778239.1	6e-110	74.7	false	320000..320749	complement(1387608..1388357)
YP_002343788.1	WP_002778240.1	8e-66	82.14	false	320820..321242	complement(1387116..1387538)
YP_002343789.1	WP_002778241.1	2e-50	94.12	false	321242..321550	complement(1386808..1387116)
YP_002343790.1	WP_002780673.1	5e-99	74.6	false	321551..322348	complement(1386017..1386808)
YP_002343791.1	WP_002791342.1	0.0	85.36	false	complement(322345..323805)	1384560..1386020
YP_002343792.1	WP_002778244.1	1e-38	92.59	false	complement(323805..324050)	1384315..1384560
YP_002343793.1	WP_002783175.1	6e-127	97.31	false	complement(324163..324834)	1383529..1384200
YP_002343794.1	WP_002778248.1	2e-33	64.76	false	complement(324913..325230)	1383133..1383450
YP_002343795.1	WP_002778250.1	1e-87	81.77	false	complement(325215..325823)	1382537..1383148
YP_002343796.1	WP_002778252.1	0.0	92.38	false	326024..327049	complement(1381332..1382357)
YP_002343797.1	WP_002780681.1	0.0	95.73	false	327143..328480	complement(1379899..1381236)
YP_002343798.1	WP_002778269.1	6e-67	78.21	false	328473..328943	complement(1379436..1379906)
YP_002343799.1	WP_002778272.1	2e-78	87.33	false	328927..329379	complement(1379000..1379452)
YP_002343800.1	WP_002778274.1	0.0	84.63	false	complement(329376..330722)	1377656..1378966
YP_002343801.1	WP_002778275.1	8e-37	79.52	false	330851..331102	complement(1377280..1377531)
YP_002343802.1	WP_002787521.1	0.0	85.57	false	complement(331125..332603)	1375773..1377251
YP_002343803.1	WP_021033772.1	0.0	93.08	false	complement(332596..335718)	1372658..1375780
YP_002343804.1	WP_021033771.1	4e-173	80.11	false	complement(335718..336821)	1371555..1372658
YP_002343805.1	WP_021033770.1	2e-88	72.2	false	complement(336916..337548)	1370812..1371447
